,model,first_3,middle_3,last_3
MT_008," ARIMA(1,0,0)(0,0,0)[0]          ",0.022736195786679257,0.02309326154111137,0.040239608384280284
MT_104," ARIMA(1,0,1)(0,0,0)[0]          ",0.10506064608724637,0.08552025698866535,0.13473108908649614
MT_006," ARIMA(2,0,2)(0,0,0)[0]          ",0.032419993743065666,0.034172832566976695,0.027779315337830505
MT_219," ARIMA(0,0,0)(0,0,0)[0] intercept",0.03662474358291352,0.036027002741965054,0.07295954159826551
MT_370," ARIMA(0,0,1)(0,0,0)[0]          ",0.09020175575592289,0.11521068501906635,0.15904241894334714
MT_140," ARIMA(0,0,0)(0,0,0)[0]          ",0.4564075813782804,0.40053447874007353,0.46634842499972357
MT_263," ARIMA(2,0,0)(0,0,0)[0]          ",0.048578146118564945,0.06595354702436063,0.07881057822492844
MT_357," ARIMA(1,0,2)(0,0,0)[0]          ",0.04640517365598916,0.05235349466898574,0.08019781277973305
MT_205," ARIMA(1,0,3)(0,0,0)[0]          ",0.03627107506800707,0.05014292584357649,5.581384562111817e+18
MT_143," ARIMA(0,0,1)(0,0,0)[0]          ",0.0578894140081831,0.06298051889118542,1.0598971702930353e+18
MT_043," ARIMA(1,0,3)(0,0,0)[0]          ",0.026276882513028326,0.023517784603550765,0.03826503853853455
MT_307," ARIMA(3,0,0)(0,0,0)[0]          ",0.042181738669790456,0.03624483684057736,0.048509793197587386
MT_029," ARIMA(1,0,1)(0,0,0)[0]          ",0.07419522271864486,0.07344396544050814,0.15995767569284086
MT_167," ARIMA(0,0,0)(0,0,0)[0] intercept",0.03573608791922307,0.019370710208053088,0.06641748359288382
MT_146," ARIMA(1,0,0)(0,0,0)[0]          ",0.013198067861871329,0.027953704147634196,0.019552887237642813
MT_097," ARIMA(3,0,2)(0,0,0)[0]          ",0.07369253221631598,0.0981429216352286,0.18704495544327762
MT_280," ARIMA(1,0,3)(0,0,0)[0]          ",0.060164952862709356,0.05319192662674077,0.05624747261880019
MT_345," ARIMA(1,0,0)(0,0,0)[0]          ",0.05426182868447461,0.05759663391507192,0.07539858871990643
MT_090," ARIMA(0,0,2)(0,0,0)[0]          ",0.15410155103158293,0.23844480435043194,1.4164742633572491
MT_093," ARIMA(0,0,0)(0,0,0)[0]          ",2.0265909077433606,1.8361170207315127,4.082518163331048
MT_300," ARIMA(1,0,0)(0,0,0)[0]          ",0.02096088952250218,0.03167301192758633,0.060453618400811475
MT_270," ARIMA(3,0,0)(0,0,0)[0] intercept",0.04067561621889244,0.06106618291319785,0.06407505123416567
MT_114," ARIMA(2,0,1)(0,0,0)[0] intercept",0.10427144259260841,0.10283131489974558,0.10173081973198476
MT_366," ARIMA(5,0,5)(0,0,0)[0]          ",0.29769987552594707,0.27080784950822856,0.43482261325973803
MT_304," ARIMA(2,0,3)(0,0,0)[0]          ",0.030266554866894353,0.046628291377868836,0.10221627065464721
MT_303," ARIMA(1,0,3)(0,0,0)[0] intercept",0.03934464439903139,0.03791799366609906,0.04527041518803667
MT_137," ARIMA(1,0,0)(0,0,0)[0]          ",0.029358542495365403,0.03701952354345149,0.05687432200949674
MT_125," ARIMA(1,0,0)(0,0,0)[0]          ",0.035654552082751076,0.03291946219704053,0.12988855719212408
MT_236," ARIMA(1,0,2)(0,0,0)[0]          ",0.04648255523827339,0.04253577103602467,1.7850342281638986e+18
MT_240," ARIMA(1,0,1)(0,0,0)[0]          ",0.03871040366938817,0.12467857532495605,0.10552705876493801
MT_058," ARIMA(0,0,0)(0,0,0)[0] intercept",0.030692794674969427,0.03280622833889312,0.05076261798241878
MT_064," ARIMA(0,0,0)(0,0,0)[0] intercept",0.019006672100738822,0.022669520758614992,2.390272129130311e+19
